date,close,open,high,low,volume,%
2022/1/10,"18,239.38","18,095.39","18,243.26","18,043.97",3.44B,0.38%
2022/1/7,"18,169.76","18,388.16","18,444.12","18,134.41",4.73B,-1.08%
2022/1/6,"18,367.92","18,395.72","18,427.15","18,253.82",3.41B,-0.71%
2022/1/5,"18,499.96","18,598.13","18,619.61","18,446.52",4.26B,-0.14%
2022/1/4,"18,526.35","18,395.14","18,526.35","18,395.14",4.23B,1.40%
2022/1/3,"18,270.51","18,260.23","18,379.69","18,238.47",4.31B,0.28%
2021/12/30,"18,218.84","18,270.00","18,291.25","18,216.45",4.08B,-0.16%
2021/12/29,"18,248.28","18,209.14","18,283.25","18,192.86",3.98B,0.28%
2021/12/28,"18,196.81","18,099.71","18,197.36","18,099.71",3.90B,0.82%
2021/12/27,"18,048.94","17,975.41","18,099.78","17,975.41",3.70B,0.49%
2021/12/24,"17,961.64","17,966.35","18,039.85","17,953.57",3.83B,0.08%
2021/12/23,"17,946.66","17,855.78","17,960.99","17,855.78",3.85B,0.67%
2021/12/22,"17,826.83","17,805.74","17,870.16","17,799.72",3.54B,0.21%
2021/12/21,"17,789.27","17,686.84","17,825.89","17,652.32",3.56B,0.68%
2021/12/20,"17,669.11","17,812.81","17,812.81","17,646.39",3.80B,-0.81%
2021/12/17,"17,812.59","17,744.54","17,822.74","17,718.27",5.15B,0.15%
2021/12/16,"17,785.74","17,719.06","17,814.32","17,719.06",4.32B,0.71%
2021/12/15,"17,660.10","17,592.87","17,678.78","17,556.87",3.77B,0.35%
2021/12/14,"17,599.37","17,754.38","17,754.38","17,566.99",4.87B,-0.95%
2021/12/13,"17,767.60","17,841.03","17,919.35","17,767.60",4.80B,-0.33%
2021/12/10,"17,826.26","17,893.29","17,893.29","17,767.80",4.63B,-0.49%
2021/12/9,"17,914.12","17,880.41","17,925.12","17,807.12",5.27B,0.46%
2021/12/8,"17,832.42","17,845.06","17,988.88","17,832.42",5.27B,0.20%
2021/12/7,"17,796.92","17,734.19","17,796.92","17,642.32",5.42B,0.61%
2021/12/6,"17,688.21","17,650.67","17,763.42","17,585.95",3.85B,-0.05%
2021/12/3,"17,697.14","17,720.93","17,781.14","17,670.32",4.40B,-0.16%
2021/12/2,"17,724.88","17,575.91","17,741.55","17,559.44",4.99B,0.79%
2021/12/1,"17,585.99","17,428.61","17,626.21","17,374.59",4.22B,0.91%
2021/11/30,"17,427.76","17,369.79","17,535.23","17,369.79",6.13B,0.58%
2021/11/29,"17,328.09","17,320.01","17,415.63","17,167.24",4.89B,-0.24%
2021/11/26,"17,369.39","17,641.79","17,641.79","17,330.44",5.68B,-1.61%
2021/11/25,"17,654.19","17,686.12","17,724.50","17,609.51",4.71B,0.07%
2021/11/24,"17,642.52","17,680.16","17,722.89","17,588.78",4.92B,-0.13%
2021/11/23,"17,666.12","17,797.90","17,797.90","17,650.07",5.00B,-0.77%
2021/11/22,"17,803.54","17,828.53","17,857.73","17,790.64",4.91B,-0.08%
2021/11/19,"17,818.31","17,864.19","17,986.18","17,786.05",6.25B,-0.13%
2021/11/18,"17,841.37","17,767.06","17,841.37","17,748.21",6.80B,0.44%
2021/11/17,"17,764.04","17,705.29","17,764.04","17,669.58",6.40B,0.40%
2021/11/16,"17,693.13","17,639.96","17,708.10","17,629.80",6.22B,0.33%
2021/11/15,"17,634.47","17,560.52","17,683.19","17,560.52",5.37B,0.66%
2021/11/12,"17,518.13","17,479.55","17,602.05","17,479.55",5.53B,0.38%
2021/11/11,"17,452.52","17,527.18","17,527.18","17,403.48",6.15B,-0.61%
2021/11/10,"17,559.65","17,549.09","17,575.44","17,489.87",5.80B,0.10%
2021/11/9,"17,541.36","17,433.10","17,581.52","17,433.10",5.48B,0.72%
2021/11/8,"17,415.30","17,323.39","17,415.30","17,279.46",5.61B,0.68%
2021/11/5,"17,296.90","17,097.16","17,296.90","17,097.16",4.76B,1.28%
2021/11/4,"17,078.86","17,158.28","17,219.65","17,061.46",4.49B,-0.25%
2021/11/3,"17,122.16","17,087.89","17,153.76","17,080.51",4.65B,0.33%
2021/11/2,"17,065.97","17,094.42","17,237.09","17,026.63",5.37B,-0.01%
2021/11/1,"17,068.24","17,021.77","17,119.43","17,021.77",4.51B,0.48%
2021/10/29,"16,987.41","17,058.04","17,073.97","16,920.68",4.55B,-0.32%
2021/10/28,"17,041.63","17,081.17","17,104.86","16,994.37",4.62B,-0.19%
2021/10/27,"17,074.55","17,037.37","17,079.60","16,973.16",3.54B,0.24%
2021/10/26,"17,034.34","16,909.32","17,067.15","16,909.32",3.83B,0.83%
2021/10/25,"16,894.24","16,879.34","16,930.98","16,784.11",3.36B,0.03%
